Load_name,Bus_name,Phase,P,Q
AFL61Q_417794222-L_C,1031710310,3,10,4.8
AFL59Q_417751539-L_B,1031561820,2,25.5,-1.9
AFL59Q_417751539-L_C,1031561820,3,14.4,21.2
AFL53Q_417750503-L_A,1031511627,1,9.6,-0.7
AFL53Q_417750503-L_B,1031511627,2,5.4,7.9
NRL06_417752016-L_C,1031573749,3,29.9,14.5
182K66_417752340-L_A,1031576012,1,10,4.8
182K66_417752340-L_B,1031576012,2,10,4.8
182K66_417752340-L_C,1031576012,3,10,4.8
AFL46Q_417829459-L_A,1031965555,1,99.7,48.3
AFL46Q_417829459-L_B,1031965555,2,99.7,48.3
AFL46Q_417829459-L_C,1031965555,3,99.7,48.3
AFL36Q_417793663-L_B,1031684927,2,9.6,-0.7
AFL36Q_417793663-L_C,1031684927,3,5.4,8
AFL37Q_417696698-L_B,1031323929,2,12.8,-0.9
AFL37Q_417696698-L_C,1031323929,3,7.2,10.6
RK974_417890260-L_A,1032270931,1,19.9,4.1
HCM63_417830826-L_A,1032052418,1,39.9,19.3
AFL34Q_417888201-L_A,1032144875,1,39.9,8.1
5LH72_417889985-L_A,1032230360,1,10,4.8
5LH72_417889985-L_B,1032230360,2,10,4.8
5LH72_417889985-L_C,1032230360,3,10,4.8
AFL31Q_417829826-L_B,1031968129,2,66.6,13.5
85N49_417831833-L_C,1032115287,3,19.9,9.7
85L37_417831721-L_A,1032114506,1,19.9,9.7
85L37_417831721-L_B,1032114506,2,19.9,9.7
85L37_417831721-L_C,1032114506,3,19.9,9.7
AFL25Q_417751433-L_B,1031561078,2,10,2
AFL22Q_417698427-L_A,1031473437,1,6,2.9
AFK84Q_417793943-L_C,1031708358,3,4,1.9
BC173Q_417830996-L_A,1032053606,1,19.9,4.1
6AY10_417830648-L_A,1032051170,1,19.9,4.1
PAP27_417888192-L_A,1032144813,1,19.9,4.1
AFK98Q_417889159-L_A,1032181643,1,19.9,4.1
AFK88Q_417829540-L_A,1031966122,1,39.9,8.1
AFK90Q_417888398-L_A,1032146253,1,39.9,8.1
AFL07Q_417888649-L_A,1032148012,1,39.9,8.1
AFL08Q_417887960-L_A,1032117422,1,19.9,9.7
AFK93Q_417888831-L_A,1032179347,1,66.6,13.5
AFL18Q_417829239-L_A,1031925372,1,66.6,13.5
AFL15Q_417831400-L_A,1032073612,1,39.9,8.1
AFL12Q_417830839-L_A,1032052511,1,66.6,13.5
AFL10Q_417830392-L_A,1032006442,1,39.9,8.1
BC177Q_417890151-L_B,1032270173,2,10,2
AFK97Q_417889508-L_B,1032227025,2,29.9,6.1
AFK86Q_417830343-L_B,1032006099,2,66.6,13.5
AFL05Q_417830345-L_B,1032006112,2,39.9,8.1
AFL02Q_417889010-L_B,1032180595,2,39.9,8.1
AFL00Q_417891018-L_B,1032310591,2,29.9,6.1
1CEQ96_417936013-L_A,1032458092,1,19.9,4.1
1CEQ97_417936059-L_A,1032458415,1,19.9,4.1
AFK71Q_417753757-L_B,1031633169,2,10,2
AFL39Q_417828948-L_A,1031923334,1,10,4.8
AFL39Q_417828948-L_B,1031923334,2,10,4.8
AFL39Q_417828948-L_C,1031923334,3,10,4.8
AFL40Q_417751133-L_A,1031249073,1,39.9,19.3
AFL40Q_417751133-L_B,1031249073,2,39.9,19.3
AFL40Q_417751133-L_C,1031249073,3,39.9,19.3
AFL41Q_417754442-L_A,1031680903,1,7.2,10.6
AFL41Q_417754442-L_C,1031680903,3,12.8,-0.9
BA640Q_417831113-L_B,1032071601,2,66.6,13.5
BAG75Q_417696599-L_A,1031323238,1,15,7.2
AFM33Q_417698578-L_A,1031474496,1,10,4.8
AFM33Q_417698578-L_B,1031474496,2,10,4.8
AFM33Q_417698578-L_C,1031474496,3,10,4.8
AFM35Q_417698716-L_A,1031509814,1,7.2,10.6
AFM35Q_417698716-L_C,1031509814,3,12.8,-0.9
BA643Q_417831688-L_A,1032075629,1,39.9,8.1
BA642Q_417890825-L_A,1032309240,1,10,4.8
BA642Q_417890825-L_B,1032309240,2,10,4.8
BA642Q_417890825-L_C,1032309240,3,10,4.8
AFM53Q_417830199-L_B,1032005087,2,39.9,8.1
AFM51Q_417890152-L_B,1031322361,2,39.9,8.1
AFM49Q_417888672-L_B,1032148174,2,39.9,8.1
AFM55Q_417889562-L_B,1032227402,2,39.9,8.1
AFM58Q_417830631-L_B,1032051051,2,39.9,8.1
BCP31Q_417831817-L_B,1032115180,2,19.9,4.1
BCP80Q_417829873-L_B,1032002810,2,19.9,4.1
BCP75Q_417831116-L_B,1032071627,2,39.9,8.1
AFM45Q_417830306-L_B,1032005841,2,29.9,6.1
AFM44Q_417831346-L_B,1032073235,2,29.9,6.1
AFM40Q_417696998-L_B,1031429087,2,4,1.9
AFM60Q_417795852-L_A,1031781837,1,10,2
AFM61Q_417750768-L_A,1031522068,1,10,4.8
AFM61Q_417750768-L_B,1031522068,2,10,4.8
AFM61Q_417750768-L_C,1031522068,3,10,4.9
AFM65Q_417795664-L_A,1031780523,1,19.9,4.1
AFM75Q_417891048-L_A,1032310802,1,19.9,4.1
AFM73Q_417831828-L_A,1032115257,1,19.9,9.7
AFM70Q_417754628-L_A,1031682202,1,10,2
15GW09_417831963-L_B,1032116202,2,19.9,9.7
15GW10_417890470-L_B,1032272401,2,39.9,8.1
15GW11_417888795-L_B,1032179094,2,19.9,4.1
17AE34_417829175-L_B,1031249688,2,29.9,14.5
AFM80Q_417793409-L_C,1031683147,3,10,2
17AE31_417831425-L_B,1032073788,2,29.9,14.5
17AE32_417887899-L_B,1032117000,2,29.9,6.1
17AE33_417829299-L_B,1031964440,2,39.9,8.1
AHC14Q_417890913-L_C,1032309859,3,19.9,4.1
AHC08Q_417829267-L_C,1031964214,3,29.9,6.1
AHC01Q_417829283-L_C,1031964323,3,29.9,6.1
AFM85Q_417796585-L_A,1031799850,1,15,3
AFM90Q_417751741-L_C,1031563236,3,15,3
AFM93Q_417698126-L_C,1031471335,3,10,2
BBN99Q_417795138-L_C,1031746781,3,15,7.2
AFN01Q_417751858-L_C,1031564053,3,19.9,4.1
AFN02Q_417698027-L_C,1031470640,3,29.9,6.1
AHA12Q_417697316-L_B,1031431310,2,19.9,4.1
AFN10Q_417752761-L_B,1031600431,2,15,3
AFN12Q_417796734-L_B,1031800893,2,15,3
AFN14Q_417751096-L_B,1031524368,2,15,3
AFN16Q_417794389-L_B,1031724361,2,15,3
AFN20Q_417697970-L_B,1031461654,2,15,3
AFN22Q_417794862-L_B,1031727674,2,10,2
AFN25Q_417795277-L_B,1031747756,2,19.9,4.1
AFN30Q_417796340-L_B,1031798132,2,19.9,4.1
AFN32Q_417753718-L_B,1031632892,2,10,4.8
11R996_417889885-L_B,1031249673,2,19.9,4.1
11R995_417889177-L_B,1032181764,2,19.9,4.1
PEH59_417831124-L_B,1032071682,2,39.9,8.1
PEH61_417890246-L_B,1032270837,2,29.9,6.1
AFN48_417890244-L_B,1032270823,2,29.9,6.1
AFN47Q_417890992-L_B,1032310409,2,29.9,6.1
AFN45Q_417888346-L_B,1032145891,2,39.9,8.1
PEH58_417831172-L_B,1032072014,2,39.9,8.1
AFN40Q_417888937-L_B,1032180089,2,29.9,6.1
AFN53Q_417752822-L_C,1031600860,3,6,1.2
AFN60Q_417751097-L_C,1031524373,3,15,3
AFN61Q_417796423-L_C,1031798715,3,19.9,4.1
AFN56Q_417752250-L_C,1031575384,3,19.9,4.1
AFN66Q_417753582-L_C,1031631940,3,19.9,4.1
AFN92Q_417795576-L_C,1031779902,3,10,2
AFN95Q_417752443-L_C,1031576738,3,19.9,4.1
AFN71Q_417697496-L_C,1031458336,3,15,3
AFN72Q_417752626-L_C,1031599489,3,15,3
AFN75Q_417794177-L_C,1031709995,3,15,3
AFN79Q_417696629-L_C,1031323446,3,10,2
AFN80Q_417697213-L_C,1031430587,3,15,3
AFN81Q_417794609-L_C,1031725899,3,15,3
AFN83Q_417753729-L_C,1031632974,3,6,1.2
AFN85Q_417796638-L_C,1031800220,3,10,2
